FID,Loc_name,Status,Score,Match_type,Match_addr,Addr_type,AddNum,AddNumFrom,AddNumTo,Side,StPreDir,StPreType,StName,StType,StDir,StAddr,City,Region,Postal,Country,X,Y,DisplayX,DisplayY,ARC_Single,EntityID,AGENCY,NAME,YOUTH_FACI,THRIRTYFIV,FRTHGRD_RE,AVAIL_STAF,BEST_TIMES,WEBSITE,PHONE_1,ORIG_ADDRE,AddressLin,Latitude,Longitude,AdminDistr,PostalCode,ADV_RES_RE,EKIP_VOUCH,
83,USA.Postal,M,100,A,"89044, Henderson, Nevada",Postal, , , , , , , , , , ,Henderson,Nevada,89044,USA,-115.103369,35.940549,-115.103369,35.940549,"Henderson, NV 89044",85, Bureau of Land Management,Sloan Canyon National Conservation Area,"Petroglyph site, trails",Yes,Staff or volunteer-led tour/hike,Staff interpreters,"Winter (November - February), Spring (March - May), Fall (September - October)",http://www.blm.gov/nv/st/en/fo/lvfo/blm_programs/blm_special_areas/sloan_canyon_nca.html,775-515-5355,"Henderson, NV","Henderson, NV 89044",35.940549,-115.103369,Nevada,89044,Yes,,
84,USA.Postal,M,100,A,"89801, Elko, Nevada",Postal, , , , , , , , , , ,Elko,Nevada,89801,USA,-115.76351,40.841429,-115.76351,40.841429,"1 Trail Center Way, Elko, NV 89801",86, Bureau of Land Management,California Trail Interpretive Center,"Restrooms, Visitor Center, Environmental education facility, Short trail with overlook",Yes,"Staff or volunteer-led tour/hike, Science/Technology/Engineering/Math (STEM) program, History/Social Studies/Cultural Heritage program, English Language Arts program, Geocaching","Staff interpreters, Staff rangers, Volunteers","Spring (March - May), Summer (June - August), Fall (September - October)",http://www.blm.gov/nv/st/en/fo/elko_field_office/blm_programs/blm_special_areas/california_trail_historic.html,775-738-1849,"1 Trail Center Way, Elko, NV","1 Trail Center Way, Elko, NV 89801",40.841429,-115.76351,Nevada,89801,No,,
85,USA.Postal,M,100,A,"89161, Las Vegas, Nevada",Postal, , , , , , , , , , ,Las Vegas,Nevada,89161,USA,-115.340328,36.033567,-115.340328,36.033567,"1000 Scenic Loop Drive, Las Vegas, NV 89161",87, Bureau of Land Management,Red Rock Canyon National Conservation Area,"Restrooms, Visitor Center, Environmental education facility, Amphitheater, Group shelters, Day use areas, Trails",Yes,"Staff or volunteer-led tour/hike, Science/Technology/Engineering/Math (STEM) program, History/Social Studies/Cultural Heritage program, English Language Arts program, Geocaching","Staff interpreters, Staff rangers, Volunteers, Staff from partner organizations","Winter (November - February), Spring (March - May), Fall (September - October)",http://www.blm.gov/nv/st/en/fo/lvfo/blm_programs/blm_special_areas/red_rock_nca.html,702-515-5350,"1000 Scenic Loop Drive, Las Vegas, NV","1000 Scenic Loop Drive, Las Vegas, NV 89161",36.033567,-115.340328,Nevada,89161,Yes,,
86,USA.Postal,M,100,A,"85546, Safford, Arizona",Postal, , , , , , , , , , ,Safford,Arizona,85546,USA,-109.705699,32.802312,-109.705699,32.802312,"Safford, AZ  85546",88, Bureau of Land Management,Dankworth Village,"Restrooms, Environmental education facility, Group shelters, Day use areas",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom, Science/Technology/Engineering/Math (STEM) program, History/Social Studies/Cultural Heritage program, Geocaching","Staff interpreters, Staff rangers, Volunteers","Winter (November - February), Spring (March - May), Fall (September - October)",http://www.blm.gov/az/st/en/prog/cultural/dankworth.html,928-348-4453,"32Îç43'12.96""N / 109Îç41'56.92""W  (Safford, AZ)","Safford, AZ  85546",32.802312,-109.705699,Arizona,85546,No,,
87, ,U,0,A, , , , , , , , , , , , , ,Arizona, , ,-109.480303,32.894353,0,0, ,89, Bureau of Land Management,Serna Cabin/Bonita Creek Watchable Wildlife Area,"Restrooms, Environmental education facility, Group shelters, Day use areas, Wildlife viewing platform & Interpretive panels",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom, Science/Technology/Engineering/Math (STEM) program, History/Social Studies/Cultural Heritage program, Geocaching","Staff rangers, Volunteers, Staff specialists (Biologists, Archaeologists)","Winter (November - February), Spring (March - May), Fall (September - October)",http://www.blm.gov/az/st/en/prog/blm_special_areas/ncarea/gbox/watchable.html,928-348-4453,"32Îç53'39.67""""N / 109Îç28'49.09""""W", ,32.894353,-109.480303,Arizona,85546,No, ,
88,USA.StreetAddress,M,100,A,"29279 Ellensburg Ave, Gold Beach, Oregon, 97444",StreetAddress,29279,29265,29285,R, , ,Ellensburg,Ave, ,29279 Ellensburg Ave,Gold Beach,Oregon,97444,USA,-124.421673,42.402203,-124.421673,42.402203,29279 Ellensburg Ave. Gold Beach OR 97444,90, U.S. Forest Service,"Gold Beach Ranger Station, Rogue - Siskiyou National Forest","Restrooms, Visitor Center",Yes,"Staff or volunteer-led tour/hike, History/Social Studies/Cultural Heritage program","Staff interpreters, Volunteers",Spring (March - May), ,541-247-3600,29279 Ellensburg Ave. Gold Beach OR 97444,29279 Ellensburg Ave. Gold Beach OR 97444,42.402203,-124.421673,Oregon,97444,No,,
89,USA.StreetAddress,M,100,A,"3729 County Road 98, Bridgeport, Alabama, 35740",StreetAddress,3729,3725,3993,L, ,County Road,98, , ,3729 County Road 98,Bridgeport,Alabama,35740,USA,-85.806395,34.980894,-85.806395,34.980894,"3729 Co Rd 98, Bridgeport, AL.  35740",91, National Park Service,Russell Cave National Monument,"Restrooms, Visitor Center, Day use areas, picnic area, gazebo",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom, History/Social Studies/Cultural Heritage program, Geocaching, off site ptograms for the community",Staff interpreters,"Spring (March - May), Fall (September - October)",http://www.nps.gov/ruca/,(252)495-2672,"3729 Co Rd 98, Bridgeport, AL.","3729 Co Rd 98, Bridgeport, AL.  35740",34.980894,-85.806395,AL,35740,No,,
90,USA.Postal,M,100,A,"36083, Tuskegee, Alabama",Postal, , , , , , , , , , ,Tuskegee,Alabama,36083,USA,-85.691649,32.382733,-85.691649,32.382733,"1616 Chapple James Avenue , Tuskegee, Alabama 36083",92, National Park Service,Tuskegee Airman National Historic Site and Tuskegee Institute,"Restrooms, Visitor Center",Yes,Staff or volunteer-led tour/hike,Staff interpreters,"Winter (November - February), Fall (September - October)",http://www.nps.gov.tuai/,(334) 724-0922,"1616 Chapple James Avenue , Tuskegee, Alabama","1616 Chapple James Avenue , Tuskegee, Alabama 36083",32.382733,-85.691649,AL,36083,No,,
91, ,U,0,A, , , , , , , , , , , , , ,Alaska, , ,0,0,0,0, ,93, National Park Service,Denali National Park and Preserve,"Restrooms, Visitor Center, Environmental education facility, Amphitheater, Group shelters, Day use areas",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom",Staff interpreters,"Spring (March - May), Fall (September - October)",http://www.nps.gov/dena/,(907) 683-9532,"George Parks Highway, Denali National Park and Preserve", ,0,0,Alaska,99755,No,YES,
92,USA.Postal,M,100,A,"99826, Gustavus, Alaska",Postal, , , , , , , , , , ,Gustavus,Alaska,99826,USA,-136.561579,58.747757,-136.561579,58.747757,"Gustavus, AK  99826",94, National Park Service,Glacier Bay National Park and Preserve,"Restrooms, Visitor Center",Yes,Staff or volunteer-led tour/hike,Staff interpreters,"Spring (March - May), Fall (September - October)",http://www.nps.gov/glba/,(907) 697-2230,PO Box 140 Gustavus,"Gustavus, AK  99826",58.747757,-136.561579,Alaska,99826,No,,
93,USA.StreetAddress,M,100,A,"122 Old Owego Tpke, Milford, Pennsylvania, 18337",StreetAddress,122,120,144,L, ,Old,Owego,Tpke, ,122 Old Owego Tpke,Milford,Pennsylvania,18337,USA,-74.815047,41.328692,-74.815047,41.328692,"122 Old Owego Turnpike, Milford, PA 18337",95, U.S. Forest Service,Grey Towers National Historic Site,"Restrooms, Visitor Center, Environmental education facility, Amphitheater, Group shelters, Day use areas, Mansion Tours",No,"Staff or volunteer-led tour/hike, Outdoor classroom, History/Social Studies/Cultural Heritage program, Hiking trails","Staff interpreters, Volunteers","Spring (March - May), Summer (June - August), Fall (September - October)",http://www.greytowers.org/ http://www.fs.fed.us/gt/,(570) 296-9630,"122 Old Owego Turnpike, Milford, PA","122 Old Owego Turnpike, Milford, PA 18337",41.328692,-74.815047,Pennsylvania,18337,No,,
94,USA.StreetAddress,M,100,A,"708 Main St, Wall, South Dakota, 57790",StreetAddress,708,898,700,R, , ,Main,St, ,708 Main St,Wall,South Dakota,57790,USA,-102.241797,43.9908,-102.241797,43.9908,"708 Main Street, Wall, South Dakota 57790",96, U.S. Forest Service,National Grasslands Visitors Center,"Restrooms, Visitor Center, Environmental education facility, Group shelters, Day use areas",Yes,"Staff or volunteer-led tour/hike, Science/Technology/Engineering/Math (STEM) program, History/Social Studies/Cultural Heritage program","Staff interpreters, Volunteers","Winter (November - February), Spring (March - May), Summer (June - August), Fall (September - October)",http://www.fs.usda.gov/detail/nebraska/specialplaces/?cid=stelprdb5228870,605-279-2125,"708 Main Street, Wall, South Dakota","708 Main Street, Wall, South Dakota 57790",43.9908,-102.241797,South Dakota,57790,No,,
95,USA.StreetName,M,100,A,"CO 151, Pagosa Springs, Colorado, 81147",StreetName, , , , , ,CO,151, , ,CO 151,Pagosa Springs,Colorado,81147,USA,-107.351767,37.137944,-107.351767,37.137944,"Colorado Highway 151, Pagosa Springs, Colorado 81147",97, U.S. Forest Service,Chimney Rock National Monument,"Restrooms, Visitor Center, Day use areas",Yes,Staff or volunteer-led tour/hike,"Staff interpreters, Volunteers","Spring (March - May), Summer (June - August), Fall (September - October)",http://www.chimneyrockco.org/,970-730-7133,"Colorado Highway 151, Pagosa Springs, Colorado","Colorado Highway 151, Pagosa Springs, Colorado 81147",37.137944,-107.351767,Colorado,81147,No,,
96,USA.StreetAddress,M,92.43,A,"125 N Main St, Chadron, Nebraska, 69337",StreetAddress,125,111,199,L,N, ,Main,St, ,125 N Main St,Chadron,Nebraska,69337,USA,-102.999636,42.835703,-102.999636,42.835703,"125 North Main Street, NE  69337",98, U.S. Forest Service,Hudson Meng Bison Bonebed Nebraska National Forest,"Restrooms, Visitor Center, Day use areas",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom, Science/Technology/Engineering/Math (STEM) program, History/Social Studies/Cultural Heritage program","Staff interpreters, Staff rangers, Volunteers","Spring (March - May), Summer (June - August), Fall (September - October)",http://fossilfreeway.net/hudson.php,308-432-0300,125 North Main Street,"125 North Main Street, NE  69337",42.835703,-102.999636,Nebraska,69337,No,,
97, ,U,0,A, , , , , , , , , , , , , ,California, , ,-120.053,38.9356,0,0, ,99, U.S. Forest Service,"Lake Tahoe Basin Management Unit, Taylor Creek Visitor Center","Restrooms, Visitor Center, Environmental education facility, Amphitheater",Yes,Staff or volunteer-led tour/hike,"Staff interpreters, Staff rangers, Volunteers","Summer (June - August), Fall (September - October)",http://www.fs.fed.us/r5/ltbmu,530-543-2674, , ,38.9356,-120.053,California,96150,No, ,
98,USA.PointAddress,M,100,A,"4201 Giant Springs Rd, Great Falls, Montana, 59405",PointAddress,4201, , ,L, , ,Giant Springs,Rd, ,4201 Giant Springs Rd,Great Falls,Montana,59405,USA,-111.239491,47.526856,-111.239961,47.52801,"4201 Giant Springs Rd, Great Falls, MT  59405",100, U.S. Forest Service,Lewis and Clark Historic Trail Interpretive Center,"Restrooms, Visitor Center, Environmental education facility, Amphitheater, Day use areas, Living History, interpretive presentations",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom, History/Social Studies/Cultural Heritage program, Living History","Staff interpreters, Staff rangers, Volunteers","Winter (November - February), Spring (March - May), Summer (June - August), Fall (September - October)",http://www.fs.usda.gov/recarea/lcnf/recarea/?recid=61458,(406) 727-8733,"4201 Giant Springs Rd, Great Falls, MT","4201 Giant Springs Rd, Great Falls, MT  59405",47.526856,-111.239491,Montana,59405,Yes,,
99,PHL.StreetName,M,90.18,A,"National Rd, Pao, Manaoag, Pangasinan, Ilocos Region",StreetName, , , , , , ,National,Rd, ,National Rd,,American Samoa, ,PHL,120.504122,16.04814,120.504122,16.04814,"National Park visitors center, Pago Pago, AS  96799",101, National Park Service,National Park of American Samoa,"Restrooms, Visitor Center, Environmental education facility, Day use areas",Yes,Staff or volunteer-led tour/hike,"Staff interpreters, Staff rangers, Volunteers","Winter (November - February), Spring (March - May), Summer (June - August), Fall (September - October)",http://www.nps.gov/npsa,684-699-3982,"National Park visitors center, Pago Pago, AS","National Park visitors center, Pago Pago, AS  96799",16.04814,120.504122,American Samoa,96799,No,,
100,USA.StreetAddress,M,100,A,"44000 Highway 12 W, Lolo, Montana, 59847",StreetAddress,44000,44000,44998,R, ,Highway,12, ,W,44000 Highway 12 W,Lolo,Montana,59847,USA,-114.351708,46.769433,-114.351708,46.769433,"44000 Highway 12 West, Lolo, MT , 59847",102, U.S. Forest Service,Lolo Pass Visitor Center,"Restrooms, Visitor Center, Day use areas, Interpretive Trail",Yes,Staff or volunteer-led tour/hike,"Staff interpreters, Volunteers","Winter (November - February), Spring (March - May), Summer (June - August), Fall (September - October)",http://www.fs.usda.gov/detail/r1/specialplaces/?cid=stelprdb5108516,208-942-3113,"44000 Highway 12 West, Lolo, MT","44000 Highway 12 West, Lolo, MT , 59847",46.769433,-114.351708,Montana,59847,No,,
101,USA.StreetName,M,92.18,A,"US 191, West Yellowstone, Montana, 59758",StreetName, , , , , ,US,191, , ,US 191,West Yellowstone,Montana,59758,USA,-111.112494,44.736698,-111.112494,44.736698,"331 US Highway 191 N, West Yellowstone, MT , 59758",103, U.S. Forest Service,Quake Lake Visitor Center,"Restrooms, Visitor Center, Group shelters, Theater, book store",Yes,"Staff or volunteer-led tour/hike, Science/Technology/Engineering/Math (STEM) program, History/Social Studies/Cultural Heritage program","Staff interpreters, Volunteers","Spring (March - May), Summer (June - August), Fall (September - October)",http://www.fs.usda.gov/detail/custergallatin/specialplaces/?cid=stelprdb5127785,406 682-7620,"331 US Highway 191 N, West Yellowstone, MT","331 US Highway 191 N, West Yellowstone, MT , 59758",44.736698,-111.112494,Montana,59758,No,,
102,USA.PointAddress,M,100,A,"2000 Miriam Cir, Bismarck, North Dakota, 58501",PointAddress,2000, , ,L, , ,Miriam,Cir, ,2000 Miriam Cir,Bismarck,North Dakota,58501,USA,-100.736092,46.828199,-100.736671,46.82699,"2000 Miriam Circle Bismarck, ND 58501",104, U.S. Forest Service,Dakota Prairie Grasslands,"Restrooms, Group shelters, Day use areas, Trails",Yes,Staff or volunteer-led tour/hike,"Staff rangers, Volunteers","Winter (November - February), Spring (March - May), Summer (June - August), Fall (September - October)",http://www.fs.usda.gov/dpg/,701-989-7300,"2000 Miriam Circle Bismarck, ND 58501","2000 Miriam Circle Bismarck, ND 58501",46.828199,-100.736092,North Dakota,58501,No,,
103,USA.Postal,M,97.65,A,"99826, Gustavus, Alaska",Postal, , , , , , , , , , ,Gustavus,Alaska,99826,USA,-136.561579,58.747757,-136.561579,58.747757,"PO Box 40, Gustavus , AK 99826",105, National Park Service,Glacier Bay National Park and Preserve,"Restrooms, Visitor Center",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom",Staff interpreters,"Spring (March - May), Fall (September - October)",http://www.nps.gov/glba/,907 697 2230,"PO Box 40, Gustavus","PO Box 40, Gustavus , AK 99826",58.747757,-136.561579,Alaska,99826,No,,
104,USA.Postal,M,87.12,A,"86023, Grand Canyon, Arizona",Postal, , , , , , , , , , ,Grand Canyon,Arizona,86023,USA,-112.11981,36.052098,-112.11981,36.052098,"PO Box 129 Grand Canyon , AZ 86023",106, National Park Service,Grand Canyon National Park,"Restrooms, Visitor Center, Environmental education facility, Amphitheater",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom, Science/Technology/Engineering/Math (STEM) program, History/Social Studies/Cultural Heritage program",Staff interpreters,"Spring (March - May), Fall (September - October)",http://www.nps/gov/grca/,928 638 7888,PO Box 129 Grand Canyon,"PO Box 129 Grand Canyon , AZ 86023",36.052098,-112.11981,Arizona,86023,Yes,,
105,USA.StreetAddress,M,92.43,A,"3693 S Old Spanish Trl, Tucson, Arizona, 85730",StreetAddress,3693,3739,3601,R,S,Old,Spanish,Trl, ,3693 S Old Spanish Trl,Tucson,Arizona,85730,USA,-110.738005,32.17835,-110.738005,32.17835,"3693 Old Spanish Trail, Tucson, AZ 85730-5601",107, National Park Service,Saguaro National Park,"Restrooms, Visitor Center",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom, Science/Technology/Engineering/Math (STEM) program, History/Social Studies/Cultural Heritage program",Staff interpreters,"Winter (November - February), Fall (September - October)",http://www.nps.gov/sagu/,520 733 5100,"3693 Old Spanish Trail, Tucson","3693 Old Spanish Trail, Tucson, AZ 85730-5601",32.17835,-110.738005,Arizona,0,No,,
106,USA.StreetAddress,M,99.05,A,"201 Fort Mason, San Francisco, California, 94123",StreetAddress,201,201,200,L, , ,Fort Mason, , ,201 Fort Mason,San Francisco,California,94123,USA,-122.42791,37.80532,-122.42791,37.80532,"Building 201, Fort Mason, San Francisco, CA 94123-0022",108, National Park Service,Golden Gate National Recreation Area,"Restrooms, Visitor Center, Environmental education facility, Day use areas",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom, Science/Technology/Engineering/Math (STEM) program, History/Social Studies/Cultural Heritage program, English Language Arts program",Staff interpreters,"Winter (November - February), Fall (September - October)",http://www.nps.gov/goga/,415-561-4700,"Building 201, Fort Mason, San Francisco","Building 201, Fort Mason, San Francisco, CA 94123-0022",37.80532,-122.42791,California,0,Yes,,
107,USA.StreetAddress,M,99.49,A,"74485 National Park Dr, Twentynine Palms, California, 92277",StreetAddress,74485,74463,74499,L, , ,National Park,Dr, ,74485 National Park Dr,Twentynine Palms,California,92277,USA,-116.036957,34.129536,-116.036957,34.129536,"74485 National Park Drive, Twentynine Palms, CA 92277-3597",109, National Park Service,Joshua Tree National Park,"Restrooms, Visitor Center, Environmental education facility, Day use areas",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom, Science/Technology/Engineering/Math (STEM) program, History/Social Studies/Cultural Heritage program",Staff interpreters,"Winter (November - February), Fall (September - October)",http://www.nps.gov/jotr/,760-367-5500,"74485 National Park Drive, Twentynine Palms","74485 National Park Drive, Twentynine Palms, CA 92277-3597",34.129536,-116.036957,California,0,Yes,,
108,USA.PointAddress,M,100,A,"1414 Harbour Way S, Richmond, California, 94804",PointAddress,1414, , ,R, , ,Harbour,Way,S,1414 Harbour Way S,Richmond,California,94804,USA,-122.359396,37.911815,-122.358391,37.91194,"1414 Harbour Way S #3000, Richmond , CA 94804",110, National Park Service,Rosie the Riveter/World War II Home Front National Historic Park,"Restrooms, Visitor Center",Yes,"Staff or volunteer-led tour/hike, Science/Technology/Engineering/Math (STEM) program, English Language Arts program",Staff interpreters,"Winter (November - February), Spring (March - May), Fall (September - October)",http://www.nps.gov/rori/,510-232-5050,"1414 Harbour Way S #3000, Richmond","1414 Harbour Way S #3000, Richmond , CA 94804",37.911815,-122.359396,California,94804,No,,
109,USA.StreetAddress,M,90.1,A,"26876 Mulholland Hwy, Calabasas, California, 91302",StreetAddress,26876,26886,26866,R, , ,Mulholland,Hwy, ,26876 Mulholland Hwy,Calabasas,California,91302,USA,-118.711034,34.104052,-118.711034,34.104052,"26876 Mulholland Highway, Calabasas, CA 91360",111, National Park Service,Santa Monica Mountains National Recreation Area,"Restrooms, Visitor Center, Environmental education facility",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom, Science/Technology/Engineering/Math (STEM) program, History/Social Studies/Cultural Heritage program, English Language Arts program",Staff interpreters,"Winter (November - February), Spring (March - May), Fall (September - October)",http://www.nps.gov/samo/,805-370-2301,"26876 Mulholland Highway, Calabasas","26876 Mulholland Highway, Calabasas, CA 91360",34.104052,-118.711034,California,91360,Yes,,
110,USA.Postal,M,96.6,A,"95389, Yosemite National Park, California",Postal, , , , , , , , , , ,Yosemite National Park,California,95389,USA,-119.715849,37.649957,-119.715849,37.649957,"PO Box 577, Yosemite, CA 95389",112, National Park Service,Yosemite National Park,"Restrooms, Visitor Center, Environmental education facility, Amphitheater, Group shelters, Day use areas",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom, Science/Technology/Engineering/Math (STEM) program, History/Social Studies/Cultural Heritage program, English Language Arts program",Staff interpreters,"Winter (November - February), Spring (March - May), Fall (September - October)",http://www.nps.gov/yose/,209 372 0200,"PO Box 577, Yosemite","PO Box 577, Yosemite, CA 95389",37.649957,-119.715849,California,95389,Yes,,
111, ,U,0,A, , , , , , , , , , , , , ,California, , ,-121.7353,36.6392,0,0, ,113, Bureau of Land Management,Fort Ord National Monument,"Restrooms, Group shelters, Day use areas",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom",Staff interpreters,"Winter (November - February), Spring (March - May), Fall (September - October)",http://www.blm.gov/ca/st/en/fo/hollister/fort_ord/index.html,831-394-8314, , ,36.6392,-121.7353,California,93933,Yes, ,
112,USA.PointAddress,M,90.92,A,"102 Elk Creek Rd, Gunnison, Colorado, 81230",PointAddress,102, , ,L, , ,Elk Creek,Rd, ,102 Elk Creek Rd,Gunnison,Colorado,81230,USA,-107.165833,38.466493,-107.166271,38.46696,"102 Elk Creek, Gunnison, CO 81230",114, National Park Service,Black Canyon of the Gunnison National Park,"Restrooms, Visitor Center, Day use areas",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom, Science/Technology/Engineering/Math (STEM) program",Staff interpreters,"Spring (March - May), Fall (September - October)",http://www.nps.gov/blca/,970 641 2337,"102 Elk Creek, Gunnison","102 Elk Creek, Gunnison, CO 81230",38.466493,-107.165833,Colorado,81230,Yes,,
113,USA.StreetAddress,M,100,A,"1000 US 36, Estes Park, Colorado, 80517",StreetAddress,1000,1000,1052,L, ,US,36, , ,1000 US 36,Estes Park,Colorado,80517,USA,-105.57659,40.366695,-105.57659,40.366695,"1000 Highway 36, Estes Park, CO 80517-8397",115, National Park Service,Rocky Mountain National Park,"Restrooms, Visitor Center, Environmental education facility, Group shelters, Day use areas",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom, Science/Technology/Engineering/Math (STEM) program",Staff interpreters,"Spring (March - May), Fall (September - October)",http://www.nps.gov/romo/,970-586-1206,"1000 Highway 36, Estes Park","1000 Highway 36, Estes Park, CO 80517-8397",40.366695,-105.57659,Colorado,0,Yes,,
114, ,U,0,A, , , , , , , , , , , , , ,Montana, , ,-113.336,46.827,0,0, ,116, Bureau of Land Management,Garnet Ghost Town,"Restrooms, Visitor Center, picnic tables, water",Yes,"Staff or volunteer-led tour/hike, History/Social Studies/Cultural Heritage program, Interpretive panels; self-guided tour brochure; scavenger hunt; letterboxing","Staff interpreters, Staff rangers, Volunteers","Summer (June - August), Fall (September - October)",http://www.blm.gov/mt/st/en/fo/missoula_field_office/garnet_ghost_town.html,(406) 329-3914, , ,46.827,-113.336,Montana,59804,No, ,
115, ,U,0,A, , , , , , , , , , , , , ,West Virginia, , ,0,0,0,0, ,117, U.S. Forest Service,Fernow Experimental Forest,Driving tour for families,No,"Staff or volunteer-led tour/hike, Outdoor classroom",Staff interpreters,Summer (June - August),http://www.nrs.fs.fed.us/ef/locations/wv/fernow/about/,304-478-2000,"latitude 39Îç5_35_ N, longitude 79Îç39_47_ W", ,0,0,West Virginia,26287,No, ,
116,USA.StreetAddress,M,100,A,"701 7th St, Fort Benton, Montana, 59442",StreetAddress,701,701,799,R, , ,7th,St, ,701 7th St,Fort Benton,Montana,59442,USA,-110.673743,47.810004,-110.673743,47.810004,"701 7th Street, Fort Benton, MT, 59442",118, Bureau of Land Management,Missouri Breaks Interpretive Center,"Restrooms, Visitor Center, Environmental education facility, Amphitheater, Day use areas",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom, Science/Technology/Engineering/Math (STEM) program, History/Social Studies/Cultural Heritage program, Geocaching, Hands-on exhibits; river-based education programs","Staff interpreters, Staff rangers, Volunteers","Spring (March - May), Summer (June - August), Fall (September - October)",http://www.blm.gov/mt/st/en/prog/nlcs_new/UMRB_NM.html,877-256-3252,"701 7th Street, Fort Benton, MT","701 7th Street, Fort Benton, MT, 59442",47.810004,-110.673743,Montana,59442,No,,
117,USA.StreetAddress,M,100,A,"33100 Tamiami Trl E, Ochopee, Florida, 34141",StreetAddress,33100,33000,33100,R, , ,Tamiami,Trl,E,33100 Tamiami Trl E,Ochopee,Florida,34141,USA,-81.321489,25.901386,-81.321489,25.901386,"33100 Tamiami Trail East Ochopee, FL 34141",119, National Park Service,Big Cypress National Preserve,"Restrooms, Visitor Center",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom, Science/Technology/Engineering/Math (STEM) program",Staff interpreters,"Winter (November - February), Fall (September - October)",http://www.nps.gov/bicy/,239-695-2000,33100 Tamiami Trail East Ochopee,"33100 Tamiami Trail East Ochopee, FL 34141",25.901386,-81.321489,Florida,34141,No,,
118,USA.StreetAddress,M,90.1,A,"212 S Washington Ave, Titusville, Florida, 32796",StreetAddress,212,298,200,L,S, ,Washington,Ave, ,212 S Washington Ave,Titusville,Florida,32796,USA,-80.807581,28.613379,-80.807581,28.613379,"212 S. Washington Avenue, Titusville, FL 32976",120, National Park Service,Canaveral National Seashore,"Restrooms, Visitor Center, Turtle Watch programs",Yes,Staff or volunteer-led tour/hike,Staff interpreters,"Winter (November - February), Fall (September - October)",http://www.nps.gov/cana/,321-267-1110,"212 S. Washington Avenue, Titusville","212 S. Washington Avenue, Titusville, FL 32976",28.613379,-80.807581,Florida,32976,No,,
119,USA.StreetAddress,M,89.31,A,"8300 Desoto Memorial Hwy, Bradenton, Florida, 34209",StreetAddress,8300,8270,8398,R, , ,Desoto Memorial,Hwy, ,8300 Desoto Memorial Hwy,Bradenton,Florida,34209,USA,-82.644543,27.520817,-82.644543,27.520817,"8300 De Soto Memorial Highway, Bradenton, FL 34280",121, National Park Service,DeSoto National Memorial,"Restrooms, Visitor Center",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom, Science/Technology/Engineering/Math (STEM) program",Staff interpreters,"Winter (November - February), Fall (September - October)",http://www.nps.gov/deso/,941-792-0458,"8300 De Soto Memorial Highway, Bradenton","8300 De Soto Memorial Highway, Bradenton, FL 34280",27.520817,-82.644543,Florida,34280,No,,
120, ,U,0,A, , , , , , , , , , , , , ,New Hampshire, , ,0,0,0,0, ,122, U.S. Forest Service,Hubbard Brook Experimental Forest,"Restrooms, conference room",No,Staff or volunteer-led tour/hike,Staff interpreters,"Winter (November - February), Spring (March - May), Summer (June - August), Fall (September - October)",http://www.nrs.fs.fed.us/ef/locations/nh/hubbard-brook/,603-726-8902 x20,"Lat. 43Îç56_ N, long. 71Îç45_ W", ,0,0,New Hampshire,3262,Yes, ,
121,USA.StreetAddress,M,100,A,"3001 Highway 312, Worden, Montana, 59088",StreetAddress,3001,2961,3099,L, ,Highway,312, , ,3001 Highway 312,Worden,Montana,59088,USA,-108.000514,45.987777,-108.000514,45.987777,"3001 Highway 312, Worden, MT, 59088",123, Bureau of Land Management,Pompeys Pillar National Monument,"Restrooms, Visitor Center, Environmental education facility, Amphitheater, Day use areas, Trail; Historic site",Yes,"Staff or volunteer-led tour/hike, Outdoor classroom, History/Social Studies/Cultural Heritage program, Geocaching","Staff interpreters, Staff rangers, Volunteers","Spring (March - May), Summer (June - August), Fall (September - October)",http://www.blm.gov/mt/st/en/prog/nlcs_new/POMPEYSPILLAR_NM.html,406-670-3908,"3001 Highway 312, Worden, MT","3001 Highway 312, Worden, MT, 59088",45.987777,-108.000514,Montana,59088,No,,
